	unsorted	sorted
23206	[3, 12, 10, 4, 32]	[3, 4, 10, 12, 32]
23207	[8, 16, 20, 32, 40]	[8, 16, 20, 32, 40]
23208	[5, 15, 14, 20, 30]	[5, 14, 15, 20, 30]
23209	[9, 6, 20, 20, 45]	[6, 9, 20, 20, 45]
23210	[10, 5, 15, 20, 18]	[5, 10, 15, 18, 20]
23211	[16, 8, 15, 21, 9]	[8, 9, 15, 16, 21]
23212	[3, 2, 3, 21, 35]	[2, 3, 3, 21, 35]
23213	[12, 8, 24, 5, 18]	[5, 8, 12, 18, 24]
23214	[15, 8, 14, 28, 14]	[8, 14, 14, 15, 28]
23215	[12, 6, 21, 10, 32]	[6, 10, 12, 21, 32]
23216	[6, 6, 24, 32, 14]	[6, 6, 14, 24, 32]
23217	[6, 9, 18, 24, 32]	[6, 9, 18, 24, 32]
23218	[6, 15, 21, 8, 6]	[6, 6, 8, 15, 21]
23219	[2, 4, 6, 7, 14]	[2, 4, 6, 7, 14]
23220	[1, 2, 12, 8, 15]	[1, 2, 8, 12, 15]
23221	[20, 3, 28, 16, 8]	[3, 8, 16, 20, 28]
23222	[15, 2, 24, 24, 16]	[2, 15, 16, 24, 24]
23223	[16, 18, 10, 6, 28]	[6, 10, 16, 18, 28]
23224	[2, 10, 24, 32, 14]	[2, 10, 14, 24, 32]
23225	[16, 6, 21, 6, 8]	[6, 6, 8, 16, 21]
23226	[6, 18, 3, 32, 16]	[3, 6, 16, 18, 32]
23227	[4, 18, 7, 35, 8]	[4, 7, 8, 18, 35]
23228	[15, 3, 28, 28, 20]	[3, 15, 20, 28, 28]
23229	[15, 6, 24, 35, 36]	[6, 15, 24, 35, 36]
23230	[12, 10, 18, 24, 30]	[10, 12, 18, 24, 30]
23231	[25, 12, 14, 10, 6]	[6, 10, 12, 14, 25]
23232	[9, 15, 12, 16, 24]	[9, 12, 15, 16, 24]
23233	[3, 2, 18, 8, 12]	[2, 3, 8, 12, 18]
23234	[10, 20, 28, 8, 7]	[7, 8, 10, 20, 28]
23235	[6, 15, 15, 20, 8]	[6, 8, 15, 15, 20]
23236	[8, 18, 35, 4, 10]	[4, 8, 10, 18, 35]
23237	[25, 6, 12, 12, 9]	[6, 9, 12, 12, 25]
23238	[20, 6, 25, 4, 7]	[4, 6, 7, 20, 25]
23239	[16, 4, 7, 32, 7]	[4, 7, 7, 16, 32]
23240	[20, 20, 7, 30, 28]	[7, 20, 20, 28, 30]
23241	[6, 15, 12, 28, 32]	[6, 12, 15, 28, 32]
23242	[8, 20, 14, 16, 8]	[8, 8, 14, 16, 20]
23243	[10, 6, 28, 24, 10]	[6, 10, 10, 24, 28]
23244	[16, 15, 12, 4, 5]	[4, 5, 12, 15, 16]
23245	[1, 9, 4, 15, 12]	[1, 4, 9, 12, 15]
23246	[2, 16, 16, 35, 5]	[2, 5, 16, 16, 35]
23247	[6, 9, 4, 28, 14]	[4, 6, 9, 14, 28]
23248	[8, 10, 12, 24, 14]	[8, 10, 12, 14, 24]
23249	[4, 30, 20, 32, 25]	[4, 20, 25, 30, 32]
23250	[2, 8, 21, 16, 10]	[2, 8, 10, 16, 21]
23251	[5, 15, 5, 5, 18]	[5, 5, 5, 15, 18]
23252	[10, 2, 35, 25, 15]	[2, 10, 15, 25, 35]
23253	[8, 4, 12, 6, 14]	[4, 6, 8, 12, 14]
23254	[8, 9, 15, 5, 24]	[5, 8, 9, 15, 24]
23255	[12, 6, 35, 24, 28]	[6, 12, 24, 28, 35]
23256	[6, 30, 10, 20, 14]	[6, 10, 14, 20, 30]
23257	[3, 5, 20, 14, 9]	[3, 5, 9, 14, 20]
23258	[10, 24, 25, 12, 12]	[10, 12, 12, 24, 25]
23259	[3, 15, 16, 32, 24]	[3, 15, 16, 24, 32]
23260	[3, 9, 6, 4, 25]	[3, 4, 6, 9, 25]
23261	[6, 12, 25, 6, 36]	[6, 6, 12, 25, 36]
23262	[3, 9, 12, 24, 9]	[3, 9, 9, 12, 24]
23263	[3, 9, 20, 18, 8]	[3, 8, 9, 18, 20]
23264	[3, 8, 7, 15, 5]	[3, 5, 7, 8, 15]
23265	[20, 12, 12, 8, 24]	[8, 12, 12, 20, 24]
23266	[2, 12, 4, 24, 18]	[2, 4, 12, 18, 24]
23267	[4, 9, 24, 20, 21]	[4, 9, 20, 21, 24]
23268	[4, 12, 18, 15, 12]	[4, 12, 12, 15, 18]
23269	[25, 20, 4, 30, 18]	[4, 18, 20, 25, 30]
23270	[4, 25, 4, 15, 18]	[4, 4, 15, 18, 25]
23271	[15, 15, 6, 10, 12]	[6, 10, 12, 15, 15]
23272	[10, 12, 4, 5, 25]	[4, 5, 10, 12, 25]
23273	[8, 4, 21, 40, 12]	[4, 8, 12, 21, 40]
23274	[5, 5, 15, 32, 28]	[5, 5, 15, 28, 32]
23275	[8, 4, 18, 6, 32]	[4, 6, 8, 18, 32]
23276	[4, 30, 12, 7, 21]	[4, 7, 12, 21, 30]
23277	[12, 6, 6, 15, 35]	[6, 6, 12, 15, 35]
23278	[9, 4, 8, 24, 8]	[4, 8, 8, 9, 24]
23279	[6, 15, 35, 24, 35]	[6, 15, 24, 35, 35]
23280	[10, 6, 10, 8, 6]	[6, 6, 8, 10, 10]
23281	[15, 30, 20, 8, 24]	[8, 15, 20, 24, 30]
23282	[20, 8, 35, 6, 7]	[6, 7, 8, 20, 35]
23283	[10, 2, 12, 5, 40]	[2, 5, 10, 12, 40]
23284	[12, 6, 10, 16, 8]	[6, 8, 10, 12, 16]
23285	[3, 12, 21, 24, 16]	[3, 12, 16, 21, 24]
23286	[4, 6, 3, 12, 36]	[3, 4, 6, 12, 36]
23287	[16, 15, 6, 15, 18]	[6, 15, 15, 16, 18]
23288	[8, 12, 8, 40, 18]	[8, 8, 12, 18, 40]
23289	[12, 8, 7, 4, 18]	[4, 7, 8, 12, 18]
23290	[4, 9, 10, 8, 36]	[4, 8, 9, 10, 36]
23291	[15, 12, 10, 21, 16]	[10, 12, 15, 16, 21]
23292	[10, 16, 28, 25, 36]	[10, 16, 25, 28, 36]
23293	[15, 10, 14, 10, 24]	[10, 10, 14, 15, 24]
23294	[4, 3, 8, 40, 14]	[3, 4, 8, 14, 40]
23295	[4, 30, 30, 35, 25]	[4, 25, 30, 30, 35]
23296	[2, 20, 9, 24, 45]	[2, 9, 20, 24, 45]
23297	[6, 12, 18, 24, 10]	[6, 10, 12, 18, 24]
23298	[5, 4, 12, 8, 8]	[4, 5, 8, 8, 12]
23299	[9, 9, 20, 28, 18]	[9, 9, 18, 20, 28]
23300	[6, 16, 12, 5, 25]	[5, 6, 12, 16, 25]
23301	[5, 18, 4, 20, 8]	[4, 5, 8, 18, 20]
23302	[8, 4, 15, 30, 12]	[4, 8, 12, 15, 30]
23303	[6, 3, 24, 40, 35]	[3, 6, 24, 35, 40]
23304	[9, 18, 15, 21, 9]	[9, 9, 15, 18, 21]
23305	[3, 16, 24, 21, 45]	[3, 16, 21, 24, 45]
23306	[16, 10, 12, 20, 25]	[10, 12, 16, 20, 25]
23307	[12, 12, 24, 20, 18]	[12, 12, 18, 20, 24]
23308	[5, 6, 35, 12, 16]	[5, 6, 12, 16, 35]
23309	[20, 6, 14, 20, 7]	[6, 7, 14, 20, 20]
23310	[12, 12, 15, 4, 9]	[4, 9, 12, 12, 15]
23311	[2, 9, 20, 10, 35]	[2, 9, 10, 20, 35]
23312	[8, 4, 15, 6, 14]	[4, 6, 8, 14, 15]
23313	[8, 24, 12, 32, 28]	[8, 12, 24, 28, 32]
23314	[15, 10, 3, 28, 45]	[3, 10, 15, 28, 45]
23315	[4, 12, 8, 24, 24]	[4, 8, 12, 24, 24]
23316	[4, 18, 15, 30, 14]	[4, 14, 15, 18, 30]
23317	[4, 30, 10, 12, 28]	[4, 10, 12, 28, 30]
23318	[16, 4, 14, 25, 28]	[4, 14, 16, 25, 28]
23319	[8, 10, 15, 24, 12]	[8, 10, 12, 15, 24]
23320	[15, 30, 25, 20, 30]	[15, 20, 25, 30, 30]
23321	[5, 12, 16, 20, 9]	[5, 9, 12, 16, 20]
23322	[8, 12, 21, 8, 6]	[6, 8, 8, 12, 21]
23323	[6, 12, 21, 15, 25]	[6, 12, 15, 21, 25]
23324	[12, 18, 15, 12, 15]	[12, 12, 15, 15, 18]
23325	[4, 20, 5, 5, 18]	[4, 5, 5, 18, 20]
23326	[25, 2, 21, 20, 36]	[2, 20, 21, 25, 36]
23327	[20, 24, 35, 5, 20]	[5, 20, 20, 24, 35]
23328	[16, 16, 6, 5, 21]	[5, 6, 16, 16, 21]
23329	[3, 8, 28, 8, 32]	[3, 8, 8, 28, 32]
23330	[8, 8, 28, 35, 5]	[5, 8, 8, 28, 35]
23331	[5, 4, 9, 20, 9]	[4, 5, 9, 9, 20]
23332	[4, 12, 12, 16, 35]	[4, 12, 12, 16, 35]
23333	[10, 6, 20, 16, 40]	[6, 10, 16, 20, 40]
23334	[4, 3, 15, 21, 24]	[3, 4, 15, 21, 24]
23335	[6, 10, 12, 18, 8]	[6, 8, 10, 12, 18]
23336	[20, 10, 5, 24, 14]	[5, 10, 14, 20, 24]
23337	[3, 4, 28, 25, 21]	[3, 4, 21, 25, 28]
23338	[15, 10, 15, 16, 20]	[10, 15, 15, 16, 20]
23339	[2, 6, 6, 12, 15]	[2, 6, 6, 12, 15]
23340	[3, 6, 16, 12, 18]	[3, 6, 12, 16, 18]
23341	[3, 10, 6, 24, 10]	[3, 6, 10, 10, 24]
23342	[5, 6, 24, 18, 16]	[5, 6, 16, 18, 24]
23343	[5, 6, 8, 24, 5]	[5, 5, 6, 8, 24]
23344	[2, 4, 18, 6, 16]	[2, 4, 6, 16, 18]
23345	[16, 12, 5, 32, 20]	[5, 12, 16, 20, 32]
23346	[5, 25, 18, 5, 10]	[5, 5, 10, 18, 25]
23347	[9, 30, 20, 12, 30]	[9, 12, 20, 30, 30]
23348	[10, 6, 16, 8, 21]	[6, 8, 10, 16, 21]
23349	[2, 6, 35, 8, 14]	[2, 6, 8, 14, 35]
23350	[6, 8, 12, 28, 27]	[6, 8, 12, 27, 28]
23351	[10, 3, 12, 28, 18]	[3, 10, 12, 18, 28]
23352	[8, 15, 15, 20, 6]	[6, 8, 15, 15, 20]
23353	[5, 3, 4, 8, 9]	[3, 4, 5, 8, 9]
23354	[15, 8, 30, 20, 27]	[8, 15, 20, 27, 30]
23355	[10, 30, 21, 12, 35]	[10, 12, 21, 30, 35]
23356	[4, 4, 21, 16, 6]	[4, 4, 6, 16, 21]
23357	[2, 6, 20, 7, 20]	[2, 6, 7, 20, 20]
23358	[25, 8, 20, 24, 28]	[8, 20, 24, 25, 28]
23359	[6, 5, 30, 30, 28]	[5, 6, 28, 30, 30]
23360	[6, 9, 16, 28, 40]	[6, 9, 16, 28, 40]
23361	[4, 4, 35, 6, 21]	[4, 4, 6, 21, 35]
23362	[2, 10, 14, 12, 10]	[2, 10, 10, 12, 14]
23363	[9, 30, 12, 40, 45]	[9, 12, 30, 40, 45]
23364	[15, 9, 12, 5, 28]	[5, 9, 12, 15, 28]
23365	[10, 12, 14, 32, 18]	[10, 12, 14, 18, 32]
23366	[5, 8, 8, 5, 21]	[5, 5, 8, 8, 21]
23367	[25, 8, 28, 30, 8]	[8, 8, 25, 28, 30]
23368	[3, 24, 30, 12, 14]	[3, 12, 14, 24, 30]
23369	[2, 12, 24, 20, 8]	[2, 8, 12, 20, 24]
23370	[10, 10, 24, 15, 18]	[10, 10, 15, 18, 24]
23371	[6, 30, 12, 5, 28]	[5, 6, 12, 28, 30]
23372	[3, 20, 12, 40, 40]	[3, 12, 20, 40, 40]
23373	[3, 6, 12, 35, 18]	[3, 6, 12, 18, 35]
23374	[4, 30, 4, 35, 40]	[4, 4, 30, 35, 40]
23375	[2, 8, 14, 40, 6]	[2, 6, 8, 14, 40]
23376	[8, 15, 20, 7, 32]	[7, 8, 15, 20, 32]
23377	[4, 10, 25, 25, 25]	[4, 10, 25, 25, 25]
23378	[5, 3, 18, 25, 35]	[3, 5, 18, 25, 35]
23379	[25, 20, 21, 25, 30]	[20, 21, 25, 25, 30]
23380	[5, 10, 3, 35, 25]	[3, 5, 10, 25, 35]
23381	[4, 20, 12, 16, 30]	[4, 12, 16, 20, 30]
23382	[2, 12, 5, 8, 24]	[2, 5, 8, 12, 24]
23383	[2, 2, 20, 20, 20]	[2, 2, 20, 20, 20]
23384	[10, 9, 12, 8, 15]	[8, 9, 10, 12, 15]
23385	[20, 18, 16, 25, 27]	[16, 18, 20, 25, 27]
23386	[1, 20, 25, 35, 24]	[1, 20, 24, 25, 35]
23387	[8, 4, 30, 20, 7]	[4, 7, 8, 20, 30]
23388	[15, 4, 7, 40, 14]	[4, 7, 14, 15, 40]
23389	[4, 15, 16, 5, 14]	[4, 5, 14, 15, 16]
23390	[20, 15, 6, 40, 28]	[6, 15, 20, 28, 40]
23391	[20, 8, 4, 35, 24]	[4, 8, 20, 24, 35]
23392	[3, 2, 15, 5, 12]	[2, 3, 5, 12, 15]
23393	[12, 8, 18, 4, 6]	[4, 6, 8, 12, 18]
23394	[5, 9, 21, 12, 30]	[5, 9, 12, 21, 30]
23395	[20, 20, 35, 24, 9]	[9, 20, 20, 24, 35]
23396	[6, 6, 5, 7, 35]	[5, 6, 6, 7, 35]
23397	[5, 8, 12, 16, 9]	[5, 8, 9, 12, 16]
23398	[5, 24, 28, 16, 9]	[5, 9, 16, 24, 28]
23399	[6, 8, 16, 7, 28]	[6, 7, 8, 16, 28]
23400	[8, 4, 9, 20, 45]	[4, 8, 9, 20, 45]
23401	[1, 24, 16, 8, 15]	[1, 8, 15, 16, 24]
23402	[16, 8, 24, 32, 21]	[8, 16, 21, 24, 32]
23403	[3, 10, 12, 28, 24]	[3, 10, 12, 24, 28]
23404	[20, 12, 12, 12, 18]	[12, 12, 12, 18, 20]
23405	[4, 4, 10, 5, 9]	[4, 4, 5, 9, 10]
23406	[12, 12, 18, 24, 8]	[8, 12, 12, 18, 24]
23407	[6, 10, 20, 12, 16]	[6, 10, 12, 16, 20]
23408	[10, 15, 24, 32, 7]	[7, 10, 15, 24, 32]
23409	[25, 8, 20, 24, 24]	[8, 20, 24, 24, 25]
23410	[5, 20, 15, 24, 12]	[5, 12, 15, 20, 24]
23411	[16, 30, 7, 30, 15]	[7, 15, 16, 30, 30]
23412	[20, 16, 24, 20, 8]	[8, 16, 20, 20, 24]
23413	[25, 6, 7, 6, 24]	[6, 6, 7, 24, 25]
23414	[10, 12, 8, 18, 10]	[8, 10, 10, 12, 18]
23415	[10, 6, 8, 12, 9]	[6, 8, 9, 10, 12]
23416	[6, 25, 12, 16, 12]	[6, 12, 12, 16, 25]
23417	[4, 3, 14, 6, 35]	[3, 4, 6, 14, 35]
23418	[4, 8, 35, 6, 24]	[4, 6, 8, 24, 35]
23419	[3, 24, 14, 8, 18]	[3, 8, 14, 18, 24]
23420	[4, 4, 3, 7, 8]	[3, 4, 4, 7, 8]
23421	[15, 25, 14, 30, 24]	[14, 15, 24, 25, 30]
23422	[4, 24, 6, 20, 18]	[4, 6, 18, 20, 24]
23423	[20, 9, 6, 16, 35]	[6, 9, 16, 20, 35]
23424	[15, 12, 35, 5, 30]	[5, 12, 15, 30, 35]
23425	[1, 12, 14, 21, 5]	[1, 5, 12, 14, 21]
23426	[15, 4, 12, 32, 25]	[4, 12, 15, 25, 32]
23427	[10, 4, 14, 25, 10]	[4, 10, 10, 14, 25]
23428	[15, 15, 9, 15, 21]	[9, 15, 15, 15, 21]
23429	[8, 8, 16, 20, 28]	[8, 8, 16, 20, 28]
23430	[8, 20, 30, 8, 30]	[8, 8, 20, 30, 30]
23431	[5, 3, 9, 10, 20]	[3, 5, 9, 10, 20]
23432	[25, 15, 12, 15, 7]	[7, 12, 15, 15, 25]
23433	[15, 30, 12, 18, 18]	[12, 15, 18, 18, 30]
23434	[16, 4, 6, 16, 10]	[4, 6, 10, 16, 16]
23435	[6, 8, 15, 35, 6]	[6, 6, 8, 15, 35]
23436	[15, 8, 25, 25, 5]	[5, 8, 15, 25, 25]
23437	[16, 5, 9, 30, 40]	[5, 9, 16, 30, 40]
23438	[20, 2, 12, 10, 5]	[2, 5, 10, 12, 20]
23439	[10, 12, 30, 15, 45]	[10, 12, 15, 30, 45]
23440	[5, 12, 21, 4, 15]	[4, 5, 12, 15, 21]
23441	[5, 15, 7, 4, 24]	[4, 5, 7, 15, 24]
23442	[2, 12, 30, 16, 45]	[2, 12, 16, 30, 45]
23443	[3, 6, 10, 30, 25]	[3, 6, 10, 25, 30]
23444	[15, 25, 12, 25, 30]	[12, 15, 25, 25, 30]
23445	[8, 20, 6, 24, 14]	[6, 8, 14, 20, 24]
23446	[8, 6, 20, 10, 27]	[6, 8, 10, 20, 27]
23447	[2, 30, 21, 30, 12]	[2, 12, 21, 30, 30]
23448	[5, 10, 15, 5, 7]	[5, 5, 7, 10, 15]
23449	[15, 9, 12, 14, 21]	[9, 12, 14, 15, 21]
23450	[4, 6, 24, 35, 25]	[4, 6, 24, 25, 35]
23451	[12, 15, 35, 21, 27]	[12, 15, 21, 27, 35]
23452	[20, 15, 5, 5, 24]	[5, 5, 15, 20, 24]
23453	[9, 2, 12, 12, 45]	[2, 9, 12, 12, 45]
23454	[2, 30, 20, 18, 20]	[2, 18, 20, 20, 30]
23455	[4, 25, 12, 24, 28]	[4, 12, 24, 25, 28]
23456	[4, 4, 14, 16, 21]	[4, 4, 14, 16, 21]
23457	[20, 4, 15, 20, 6]	[4, 6, 15, 20, 20]
23458	[12, 16, 4, 6, 21]	[4, 6, 12, 16, 21]
23459	[4, 20, 30, 20, 20]	[4, 20, 20, 20, 30]
23460	[16, 25, 12, 16, 6]	[6, 12, 16, 16, 25]
23461	[9, 18, 6, 24, 40]	[6, 9, 18, 24, 40]
23462	[6, 8, 5, 40, 45]	[5, 6, 8, 40, 45]
23463	[3, 4, 6, 20, 36]	[3, 4, 6, 20, 36]
23464	[8, 12, 12, 25, 8]	[8, 8, 12, 12, 25]
23465	[4, 2, 21, 30, 28]	[2, 4, 21, 28, 30]
23466	[16, 12, 25, 30, 25]	[12, 16, 25, 25, 30]
23467	[4, 6, 30, 14, 15]	[4, 6, 14, 15, 30]
23468	[4, 10, 8, 18, 35]	[4, 8, 10, 18, 35]
23469	[20, 18, 3, 32, 25]	[3, 18, 20, 25, 32]
23470	[5, 2, 28, 24, 30]	[2, 5, 24, 28, 30]
23471	[1, 8, 20, 20, 18]	[1, 8, 18, 20, 20]
23472	[5, 8, 18, 32, 18]	[5, 8, 18, 18, 32]
23473	[3, 3, 12, 5, 5]	[3, 3, 5, 5, 12]
23474	[20, 24, 6, 20, 40]	[6, 20, 20, 24, 40]
23475	[25, 25, 3, 14, 10]	[3, 10, 14, 25, 25]
23476	[5, 20, 15, 25, 8]	[5, 8, 15, 20, 25]
23477	[8, 4, 12, 12, 30]	[4, 8, 12, 12, 30]
23478	[4, 18, 25, 12, 7]	[4, 7, 12, 18, 25]
23479	[6, 12, 12, 25, 7]	[6, 7, 12, 12, 25]
23480	[12, 20, 35, 20, 15]	[12, 15, 20, 20, 35]
23481	[4, 4, 24, 5, 35]	[4, 4, 5, 24, 35]
23482	[15, 9, 20, 8, 15]	[8, 9, 15, 15, 20]
23483	[10, 15, 6, 20, 8]	[6, 8, 10, 15, 20]
23484	[4, 9, 16, 28, 7]	[4, 7, 9, 16, 28]
23485	[15, 5, 30, 40, 14]	[5, 14, 15, 30, 40]
23486	[1, 24, 12, 20, 5]	[1, 5, 12, 20, 24]
23487	[2, 25, 16, 20, 25]	[2, 16, 20, 25, 25]
23488	[15, 9, 20, 8, 45]	[8, 9, 15, 20, 45]
23489	[4, 8, 5, 10, 18]	[4, 5, 8, 10, 18]
23490	[10, 2, 18, 16, 18]	[2, 10, 16, 18, 18]
23491	[8, 8, 7, 16, 9]	[7, 8, 8, 9, 16]
23492	[4, 20, 12, 14, 24]	[4, 12, 14, 20, 24]
23493	[2, 2, 28, 35, 32]	[2, 2, 28, 32, 35]
23494	[6, 15, 24, 18, 18]	[6, 15, 18, 18, 24]
23495	[6, 8, 10, 12, 24]	[6, 8, 10, 12, 24]
23496	[5, 12, 4, 25, 12]	[4, 5, 12, 12, 25]
23497	[12, 20, 6, 20, 27]	[6, 12, 20, 20, 27]
23498	[4, 15, 20, 28, 14]	[4, 14, 15, 20, 28]
23499	[5, 9, 8, 20, 8]	[5, 8, 8, 9, 20]
23500	[9, 6, 8, 16, 35]	[6, 8, 9, 16, 35]
23501	[5, 24, 15, 15, 40]	[5, 15, 15, 24, 40]
23502	[10, 5, 12, 8, 7]	[5, 7, 8, 10, 12]
23503	[4, 20, 28, 10, 30]	[4, 10, 20, 28, 30]
23504	[4, 6, 3, 8, 9]	[3, 4, 6, 8, 9]
23505	[2, 5, 14, 25, 18]	[2, 5, 14, 18, 25]
23506	[15, 30, 9, 12, 35]	[9, 12, 15, 30, 35]
23507	[16, 8, 35, 30, 9]	[8, 9, 16, 30, 35]
23508	[3, 30, 21, 5, 20]	[3, 5, 20, 21, 30]
23509	[4, 12, 25, 24, 36]	[4, 12, 24, 25, 36]
23510	[25, 30, 18, 20, 30]	[18, 20, 25, 30, 30]
23511	[2, 6, 20, 5, 24]	[2, 5, 6, 20, 24]
23512	[2, 15, 3, 35, 20]	[2, 3, 15, 20, 35]
23513	[2, 12, 9, 14, 10]	[2, 9, 10, 12, 14]
23514	[4, 15, 20, 8, 5]	[4, 5, 8, 15, 20]
23515	[20, 8, 14, 40, 16]	[8, 14, 16, 20, 40]
23516	[4, 25, 6, 30, 24]	[4, 6, 24, 25, 30]
23517	[16, 15, 5, 16, 24]	[5, 15, 16, 16, 24]
23518	[15, 4, 12, 24, 24]	[4, 12, 15, 24, 24]
23519	[12, 12, 3, 6, 18]	[3, 6, 12, 12, 18]
23520	[2, 4, 18, 10, 10]	[2, 4, 10, 10, 18]
23521	[8, 6, 12, 20, 35]	[6, 8, 12, 20, 35]
23522	[6, 12, 21, 30, 32]	[6, 12, 21, 30, 32]
23523	[15, 12, 24, 30, 18]	[12, 15, 18, 24, 30]
23524	[6, 4, 15, 14, 10]	[4, 6, 10, 14, 15]
23525	[15, 18, 7, 18, 30]	[7, 15, 18, 18, 30]
23526	[12, 3, 20, 30, 40]	[3, 12, 20, 30, 40]
23527	[20, 12, 6, 14, 36]	[6, 12, 14, 20, 36]
23528	[15, 12, 16, 16, 16]	[12, 15, 16, 16, 16]
23529	[8, 6, 7, 35, 25]	[6, 7, 8, 25, 35]
23530	[15, 2, 4, 25, 27]	[2, 4, 15, 25, 27]
23531	[4, 2, 3, 4, 24]	[2, 3, 4, 4, 24]
23532	[6, 20, 4, 8, 28]	[4, 6, 8, 20, 28]
23533	[15, 30, 4, 25, 14]	[4, 14, 15, 25, 30]
23534	[6, 12, 18, 21, 6]	[6, 6, 12, 18, 21]
23535	[9, 20, 28, 20, 12]	[9, 12, 20, 20, 28]
23536	[8, 30, 24, 12, 40]	[8, 12, 24, 30, 40]
23537	[25, 10, 28, 14, 16]	[10, 14, 16, 25, 28]
23538	[1, 5, 4, 12, 27]	[1, 4, 5, 12, 27]
23539	[10, 12, 12, 14, 18]	[10, 12, 12, 14, 18]
23540	[9, 10, 4, 4, 30]	[4, 4, 9, 10, 30]
23541	[2, 6, 4, 28, 18]	[2, 4, 6, 18, 28]
23542	[4, 8, 12, 16, 32]	[4, 8, 12, 16, 32]
23543	[15, 10, 28, 28, 24]	[10, 15, 24, 28, 28]
23544	[5, 20, 16, 18, 10]	[5, 10, 16, 18, 20]
23545	[4, 5, 10, 14, 10]	[4, 5, 10, 10, 14]
23546	[5, 9, 9, 7, 18]	[5, 7, 9, 9, 18]
23547	[10, 4, 9, 6, 40]	[4, 6, 9, 10, 40]
23548	[20, 12, 30, 4, 18]	[4, 12, 18, 20, 30]
23549	[4, 3, 15, 24, 24]	[3, 4, 15, 24, 24]
23550	[1, 20, 35, 10, 16]	[1, 10, 16, 20, 35]
23551	[12, 4, 6, 16, 28]	[4, 6, 12, 16, 28]
23552	[10, 25, 4, 25, 45]	[4, 10, 25, 25, 45]
23553	[10, 15, 10, 8, 32]	[8, 10, 10, 15, 32]
23554	[5, 16, 5, 21, 16]	[5, 5, 16, 16, 21]
23555	[4, 5, 25, 14, 24]	[4, 5, 14, 24, 25]
23556	[9, 4, 10, 10, 24]	[4, 9, 10, 10, 24]
23557	[4, 8, 28, 16, 10]	[4, 8, 10, 16, 28]
23558	[3, 24, 8, 7, 21]	[3, 7, 8, 21, 24]
23559	[15, 20, 9, 16, 18]	[9, 15, 16, 18, 20]
23560	[9, 4, 4, 12, 18]	[4, 4, 9, 12, 18]
23561	[10, 9, 5, 16, 40]	[5, 9, 10, 16, 40]
23562	[15, 15, 8, 8, 5]	[5, 8, 8, 15, 15]
23563	[16, 3, 21, 8, 21]	[3, 8, 16, 21, 21]
23564	[12, 15, 25, 20, 28]	[12, 15, 20, 25, 28]
23565	[12, 9, 20, 8, 24]	[8, 9, 12, 20, 24]
23566	[1, 15, 18, 7, 28]	[1, 7, 15, 18, 28]
23567	[15, 4, 3, 35, 27]	[3, 4, 15, 27, 35]
23568	[4, 15, 16, 14, 18]	[4, 14, 15, 16, 18]
23569	[6, 6, 3, 7, 10]	[3, 6, 6, 7, 10]
23570	[15, 6, 12, 20, 15]	[6, 12, 15, 15, 20]
23571	[2, 10, 25, 40, 18]	[2, 10, 18, 25, 40]
23572	[8, 12, 12, 12, 12]	[8, 12, 12, 12, 12]
23573	[5, 3, 25, 20, 15]	[3, 5, 15, 20, 25]
23574	[6, 10, 21, 6, 12]	[6, 6, 10, 12, 21]
23575	[10, 12, 8, 16, 12]	[8, 10, 12, 12, 16]
23576	[5, 6, 15, 14, 7]	[5, 6, 7, 14, 15]
23577	[6, 12, 7, 10, 14]	[6, 7, 10, 12, 14]
23578	[6, 2, 18, 7, 6]	[2, 6, 6, 7, 18]
23579	[15, 12, 18, 15, 6]	[6, 12, 15, 15, 18]
23580	[6, 15, 7, 24, 27]	[6, 7, 15, 24, 27]
23581	[15, 25, 12, 8, 14]	[8, 12, 14, 15, 25]
23582	[12, 15, 10, 8, 40]	[8, 10, 12, 15, 40]
23583	[10, 6, 3, 30, 6]	[3, 6, 6, 10, 30]
23584	[9, 18, 35, 24, 27]	[9, 18, 24, 27, 35]
23585	[10, 8, 28, 12, 25]	[8, 10, 12, 25, 28]
23586	[2, 3, 18, 14, 18]	[2, 3, 14, 18, 18]
23587	[15, 24, 15, 8, 45]	[8, 15, 15, 24, 45]
23588	[6, 25, 6, 25, 20]	[6, 6, 20, 25, 25]
23589	[9, 8, 3, 16, 21]	[3, 8, 9, 16, 21]
23590	[5, 12, 7, 10, 25]	[5, 7, 10, 12, 25]
23591	[12, 6, 12, 28, 9]	[6, 9, 12, 12, 28]
23592	[12, 4, 12, 15, 8]	[4, 8, 12, 12, 15]
23593	[12, 15, 21, 20, 20]	[12, 15, 20, 20, 21]
23594	[1, 6, 21, 5, 25]	[1, 5, 6, 21, 25]
23595	[5, 9, 18, 6, 20]	[5, 6, 9, 18, 20]
23596	[4, 12, 6, 25, 6]	[4, 6, 6, 12, 25]
23597	[3, 12, 25, 18, 15]	[3, 12, 15, 18, 25]
23598	[5, 10, 20, 12, 28]	[5, 10, 12, 20, 28]
23599	[12, 24, 15, 40, 6]	[6, 12, 15, 24, 40]
23600	[12, 5, 25, 7, 15]	[5, 7, 12, 15, 25]
23601	[4, 16, 4, 12, 40]	[4, 4, 12, 16, 40]
23602	[4, 15, 9, 24, 5]	[4, 5, 9, 15, 24]
23603	[4, 8, 10, 32, 12]	[4, 8, 10, 12, 32]
23604	[4, 12, 6, 24, 45]	[4, 6, 12, 24, 45]
